[2025-10-23T08:16:38.869+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-23T08:16:39.070+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-23T08:16:06.700378+00:00 [queued]>
[2025-10-23T08:16:39.135+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-23T08:16:06.700378+00:00 [queued]>
[2025-10-23T08:16:39.143+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-23T08:16:40.031+0000] {data_modification.py:78} INFO - Updated row with Video_ID: oiZvK6MY7tI
[2025-10-23T08:16:40.044+0000] {data_modification.py:78} INFO - Updated row with Video_ID: F0OkwXKcPSE
[2025-10-23T08:16:40.061+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 686PL7rt654
[2025-10-23T08:16:40.068+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zo7i8VTpfNM
[2025-10-23T08:16:40.072+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NfhuGUyWYfQ
[2025-10-23T08:16:40.076+0000] {data_modification.py:78} INFO - Updated row with Video_ID: wIpWCJKfRXs
[2025-10-23T08:16:40.090+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 50G0kIty7Cg
[2025-10-23T08:16:40.095+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 4l97aNza_Zc
[2025-10-23T08:16:40.104+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3ih2bPKSWsQ
[2025-10-23T08:16:40.109+0000] {data_modification.py:78} INFO - Updated row with Video_ID: uA9Zcg3vHvo
[2025-10-23T08:16:40.121+0000] {data_modification.py:78} INFO - Updated row with Video_ID: _AbFXuGDRTs
[2025-10-23T08:16:40.128+0000] {data_modification.py:78} INFO - Updated row with Video_ID: MOGW3v3pJ5Y
[2025-10-23T08:16:40.136+0000] {data_modification.py:78} INFO - Updated row with Video_ID: XNtTO_339kU
[2025-10-23T08:16:40.143+0000] {data_modification.py:78} INFO - Updated row with Video_ID: rB9NynBZ4go
[2025-10-23T08:16:40.157+0000] {data_modification.py:78} INFO - Updated row with Video_ID: R_BmT1OJw98
[2025-10-23T08:16:40.168+0000] {data_modification.py:78} INFO - Updated row with Video_ID: vpRW4JhzfSE
[2025-10-23T08:16:40.175+0000] {data_modification.py:78} INFO - Updated row with Video_ID: qXW93Cois2s
[2025-10-23T08:16:40.184+0000] {data_modification.py:78} INFO - Updated row with Video_ID: r7f0L48dHpc
[2025-10-23T08:16:40.202+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Z4hVGCWH1Kc
[2025-10-23T08:16:40.207+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zxuICI0kL3s
[2025-10-23T08:16:40.211+0000] {data_modification.py:78} INFO - Updated row with Video_ID: R1SFXJo-FlE
[2025-10-23T08:16:40.218+0000] {data_modification.py:78} INFO - Updated row with Video_ID: lQz5aqjZ3lQ
[2025-10-23T08:16:40.227+0000] {data_modification.py:78} INFO - Updated row with Video_ID: EiFcNbXBqeo
[2025-10-23T08:16:40.233+0000] {data_modification.py:78} INFO - Updated row with Video_ID: pzBi1nwDn8U
[2025-10-23T08:16:40.239+0000] {data_modification.py:78} INFO - Updated row with Video_ID: R7oW0LwS_e4
[2025-10-23T08:16:40.243+0000] {data_modification.py:78} INFO - Updated row with Video_ID: BfKI_TQnQvo
[2025-10-23T08:16:40.252+0000] {data_modification.py:78} INFO - Updated row with Video_ID: FWAdfuPpLOc
[2025-10-23T08:16:40.257+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NjlP2_l1Wr0
[2025-10-23T08:16:40.262+0000] {data_modification.py:78} INFO - Updated row with Video_ID: gGcaGdHlt60
[2025-10-23T08:16:40.268+0000] {data_modification.py:78} INFO - Updated row with Video_ID: pe_ejTiIcSs
[2025-10-23T08:16:40.272+0000] {data_modification.py:78} INFO - Updated row with Video_ID: V6In4tmd-w8
[2025-10-23T08:16:40.277+0000] {data_modification.py:78} INFO - Updated row with Video_ID: hTSaweR8qMI
[2025-10-23T08:16:40.284+0000] {data_modification.py:78} INFO - Updated row with Video_ID: KCRLP-zBacU
[2025-10-23T08:16:40.291+0000] {data_modification.py:78} INFO - Updated row with Video_ID: DZIASl9q90s
[2025-10-23T08:16:40.296+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 7qY-qalCI2Y
[2025-10-23T08:16:40.322+0000] {data_modification.py:78} INFO - Updated row with Video_ID: N0pwLtonPdg
[2025-10-23T08:16:40.326+0000] {data_modification.py:78} INFO - Updated row with Video_ID: -4GmbBoYQjE
[2025-10-23T08:16:40.333+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 0yPgljFcTR4
[2025-10-23T08:16:40.338+0000] {data_modification.py:78} INFO - Updated row with Video_ID: TN1wErFGTzM
[2025-10-23T08:16:40.343+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3dxksf0CzS8
[2025-10-23T08:16:40.353+0000] {data_modification.py:78} INFO - Updated row with Video_ID: uyiG6uw-6pA
[2025-10-23T08:16:40.358+0000] {data_modification.py:78} INFO - Updated row with Video_ID: M1STzb7k9L8
[2025-10-23T08:16:40.362+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 7K-yxGWYsnk
[2025-10-23T08:16:40.368+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Tbn4cYCaZCk
[2025-10-23T08:16:40.372+0000] {data_modification.py:78} INFO - Updated row with Video_ID: figrl0aOULs
[2025-10-23T08:16:40.385+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Uxc84UUrVHk
[2025-10-23T08:16:40.389+0000] {data_modification.py:78} INFO - Updated row with Video_ID: BzKaMelDzqo
[2025-10-23T08:16:40.395+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 4yx9ZJDfyKk
[2025-10-23T08:16:40.405+0000] {data_modification.py:78} INFO - Updated row with Video_ID: kPa_S6jN9ls
[2025-10-23T08:16:40.414+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 69g-YcbmgQA
[2025-10-23T08:16:40.421+0000] {data_modification.py:78} INFO - Updated row with Video_ID: aKq8bkY5eTU
[2025-10-23T08:16:40.433+0000] {data_modification.py:78} INFO - Updated row with Video_ID: TNtpUQbW4mg
[2025-10-23T08:16:40.440+0000] {data_modification.py:78} INFO - Updated row with Video_ID: TgCm8oDmxOk
[2025-10-23T08:16:40.445+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 954wJ3uHVAk
[2025-10-23T08:16:40.463+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zajUgQLviwk
[2025-10-23T08:16:40.472+0000] {data_modification.py:78} INFO - Updated row with Video_ID: PXevNM0awlI
[2025-10-23T08:16:40.480+0000] {data_modification.py:78} INFO - Updated row with Video_ID: PuQ5UxKUY48
[2025-10-23T08:16:40.487+0000] {data_modification.py:78} INFO - Updated row with Video_ID: L5ihmu87xTE
[2025-10-23T08:16:40.492+0000] {data_modification.py:78} INFO - Updated row with Video_ID: nAiKLoCP-kU
[2025-10-23T08:16:40.496+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NDsO1LT_0lw
[2025-10-23T08:16:40.503+0000] {data_modification.py:78} INFO - Updated row with Video_ID: sF5LYGgKbUA
[2025-10-23T08:16:40.508+0000] {data_modification.py:78} INFO - Updated row with Video_ID: MFpWEKN9c6Y
[2025-10-23T08:16:40.522+0000] {data_modification.py:78} INFO - Updated row with Video_ID: TRxMLLuWIhw
[2025-10-23T08:16:40.527+0000] {data_modification.py:78} INFO - Updated row with Video_ID: SM66GDRyIVY
[2025-10-23T08:16:40.540+0000] {data_modification.py:78} INFO - Updated row with Video_ID: EvqtfK_RaRg
[2025-10-23T08:16:40.556+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3cWm9B_0_kI
[2025-10-23T08:16:40.560+0000] {data_modification.py:78} INFO - Updated row with Video_ID: JgJrQnDIRgg
[2025-10-23T08:16:40.567+0000] {data_modification.py:78} INFO - Updated row with Video_ID: gtkqnhN0VkU
[2025-10-23T08:16:40.571+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ZGvn9ywXjpY
[2025-10-23T08:16:40.575+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zvBXpoBegwE
[2025-10-23T08:16:40.583+0000] {data_modification.py:78} INFO - Updated row with Video_ID: SWc8fI_9iqA
[2025-10-23T08:16:40.590+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 0BjlBnfHcHM
[2025-10-23T08:16:40.601+0000] {data_modification.py:78} INFO - Updated row with Video_ID: HcL1EQ5qD_g
[2025-10-23T08:16:40.608+0000] {data_modification.py:78} INFO - Updated row with Video_ID: vXNtju4VFm4
[2025-10-23T08:16:40.612+0000] {data_modification.py:78} INFO - Updated row with Video_ID: I9mw5UlDyPI
[2025-10-23T08:16:40.621+0000] {data_modification.py:78} INFO - Updated row with Video_ID: pS-fFdvyHLE
[2025-10-23T08:16:40.629+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Xj0Jtjg3lHQ
[2025-10-23T08:16:40.636+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 9UtcHPCEBgg
[2025-10-23T08:16:40.642+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ZNt_GoOBHq8
[2025-10-23T08:16:40.650+0000] {data_modification.py:78} INFO - Updated row with Video_ID: bn0Kh9c4Zv4
[2025-10-23T08:16:40.660+0000] {data_modification.py:78} INFO - Updated row with Video_ID: dDVFnfCwjHA
[2025-10-23T08:16:40.666+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Kt2HvqRruHQ
[2025-10-23T08:16:40.670+0000] {data_modification.py:78} INFO - Updated row with Video_ID: vDrSCXFMAKk
[2025-10-23T08:16:40.674+0000] {data_modification.py:78} INFO - Updated row with Video_ID: snX5YyflrGw
[2025-10-23T08:16:40.680+0000] {data_modification.py:78} INFO - Updated row with Video_ID: nbzQdlWrcnk
[2025-10-23T08:16:40.687+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 8krJy31Diow
[2025-10-23T08:16:40.692+0000] {data_modification.py:78} INFO - Updated row with Video_ID: aRcUVhVlSHg
[2025-10-23T08:16:40.729+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Jo7sfpeWqwE
[2025-10-23T08:16:40.739+0000] {data_modification.py:78} INFO - Updated row with Video_ID: QtD-CeUdRUQ
[2025-10-23T08:16:40.743+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ndAQfTzlVjc
[2025-10-23T08:16:40.756+0000] {data_modification.py:78} INFO - Updated row with Video_ID: AydS-vA3qa4
[2025-10-23T08:16:40.760+0000] {data_modification.py:78} INFO - Updated row with Video_ID: UPrkC1LdlLY
[2025-10-23T08:16:40.765+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 8bTQMDM4qvY
[2025-10-23T08:16:40.769+0000] {data_modification.py:78} INFO - Updated row with Video_ID: DBw0oD38z0Q
[2025-10-23T08:16:40.774+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 4SNThp0YiU4
[2025-10-23T08:16:40.782+0000] {data_modification.py:78} INFO - Updated row with Video_ID: XhuisK0bTSA
[2025-10-23T08:16:40.787+0000] {data_modification.py:78} INFO - Updated row with Video_ID: lkCRPp7cnP8
[2025-10-23T08:16:40.791+0000] {data_modification.py:78} INFO - Updated row with Video_ID: KkCXLABwHP0
[2025-10-23T08:16:40.800+0000] {data_modification.py:78} INFO - Updated row with Video_ID: U_LlX4t0A9I
[2025-10-23T08:16:40.804+0000] {data_modification.py:78} INFO - Updated row with Video_ID: T8I165Qxeo8
[2025-10-23T08:16:40.809+0000] {data_modification.py:78} INFO - Updated row with Video_ID: i-9V21MqlhY
[2025-10-23T08:16:40.815+0000] {data_modification.py:78} INFO - Updated row with Video_ID: YyNz4--6fro
[2025-10-23T08:16:40.820+0000] {data_modification.py:78} INFO - Updated row with Video_ID: f0cXJ6mJxGc
[2025-10-23T08:16:40.825+0000] {data_modification.py:78} INFO - Updated row with Video_ID: F6PqxbvOCUI
[2025-10-23T08:16:40.833+0000] {data_modification.py:78} INFO - Updated row with Video_ID: oA4LSZvX4iE
[2025-10-23T08:16:40.841+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ZKxnjszkZto
[2025-10-23T08:16:40.866+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 8_gdcaX9Xqk
[2025-10-23T08:16:40.882+0000] {data_modification.py:78} INFO - Updated row with Video_ID: snUyLbGx6U4
[2025-10-23T08:16:40.902+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Pv0iVoSZzN8
[2025-10-23T08:16:40.913+0000] {data_modification.py:78} INFO - Updated row with Video_ID: CWbV3NItSdY
[2025-10-23T08:16:40.922+0000] {data_modification.py:78} INFO - Updated row with Video_ID: l-nMKJ5J3Uc
[2025-10-23T08:16:40.934+0000] {data_modification.py:78} INFO - Updated row with Video_ID: XE1Qyss8GIY
[2025-10-23T08:16:40.943+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 6GzHPS0rEgc
[2025-10-23T08:16:40.952+0000] {data_modification.py:78} INFO - Updated row with Video_ID: imhY0pe-Sd8
[2025-10-23T08:16:40.968+0000] {data_modification.py:78} INFO - Updated row with Video_ID: erLbbextvlY
[2025-10-23T08:16:40.975+0000] {data_modification.py:78} INFO - Updated row with Video_ID: OnTTThIzuNU
[2025-10-23T08:16:40.992+0000] {data_modification.py:78} INFO - Updated row with Video_ID: mKdjycj-7eE
[2025-10-23T08:16:41.002+0000] {data_modification.py:78} INFO - Updated row with Video_ID: tWYsfOSY9vY
[2025-10-23T08:16:41.009+0000] {data_modification.py:78} INFO - Updated row with Video_ID: krsBRQbOPQ4
[2025-10-23T08:16:41.037+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 7ESeQBeikKs
[2025-10-23T08:16:41.045+0000] {data_modification.py:78} INFO - Updated row with Video_ID: K_CbgLpvH9E
[2025-10-23T08:16:41.068+0000] {data_modification.py:78} INFO - Updated row with Video_ID: lOKASgtr6kU
[2025-10-23T08:16:41.075+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ZVt9ZJfWV1c
[2025-10-23T08:16:41.095+0000] {data_modification.py:78} INFO - Updated row with Video_ID: rWBOITBjitE
[2025-10-23T08:16:41.121+0000] {data_modification.py:78} INFO - Updated row with Video_ID: tnTPaLOaHz8
[2025-10-23T08:16:41.149+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Wdjh81uH6FU
[2025-10-23T08:16:41.166+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 7dYTw-jAYkY
[2025-10-23T08:16:41.179+0000] {data_modification.py:78} INFO - Updated row with Video_ID: AjZDwxt7S8w
[2025-10-23T08:16:41.191+0000] {data_modification.py:78} INFO - Updated row with Video_ID: aZnqqXaT02g
[2025-10-23T08:16:41.199+0000] {data_modification.py:78} INFO - Updated row with Video_ID: mwKJfNYwvm8
[2025-10-23T08:16:41.205+0000] {data_modification.py:78} INFO - Updated row with Video_ID: l9_8_pDTmis
[2025-10-23T08:16:41.211+0000] {data_modification.py:78} INFO - Updated row with Video_ID: n7x4Jj9pdH8
[2025-10-23T08:16:41.232+0000] {data_modification.py:78} INFO - Updated row with Video_ID: h5uE4ERMiTk
[2025-10-23T08:16:41.343+0000] {data_modification.py:78} INFO - Updated row with Video_ID: gs8qfL9PNac
[2025-10-23T08:16:41.369+0000] {data_modification.py:78} INFO - Updated row with Video_ID: DBPYB8WkkDc
[2025-10-23T08:16:41.377+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zgLhCT7aFCA
[2025-10-23T08:16:41.393+0000] {data_modification.py:78} INFO - Updated row with Video_ID: L5kIXRdwGAI
[2025-10-23T08:16:41.401+0000] {data_modification.py:78} INFO - Updated row with Video_ID: iogcY_4xGjo
[2025-10-23T08:16:41.406+0000] {data_modification.py:78} INFO - Updated row with Video_ID: S_CUEOBZ0P4
[2025-10-23T08:16:41.415+0000] {data_modification.py:78} INFO - Updated row with Video_ID: gHzuabZUd6c
[2025-10-23T08:16:41.426+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 65fN_OUawjk
[2025-10-23T08:16:41.440+0000] {data_modification.py:78} INFO - Updated row with Video_ID: jdMNoQE3mIQ
[2025-10-23T08:16:41.462+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 2isYuQZMbdU
[2025-10-23T08:16:41.475+0000] {data_modification.py:78} INFO - Updated row with Video_ID: tVWWp1PqDus
[2025-10-23T08:16:41.494+0000] {data_modification.py:78} INFO - Updated row with Video_ID: vaIgyRoUkQI
[2025-10-23T08:16:41.508+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Hwybp38GnZw
[2025-10-23T08:16:41.521+0000] {data_modification.py:78} INFO - Updated row with Video_ID: x9TQ6culXIA
[2025-10-23T08:16:41.536+0000] {data_modification.py:78} INFO - Updated row with Video_ID: QbJJwaVdgIs
[2025-10-23T08:16:41.544+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 0e3GPea1Tyg
[2025-10-23T08:16:41.558+0000] {data_modification.py:78} INFO - Updated row with Video_ID: cV2gBU6hKfY
[2025-10-23T08:16:41.567+0000] {data_modification.py:78} INFO - Updated row with Video_ID: qIsgdOVGA04
[2025-10-23T08:16:41.577+0000] {data_modification.py:78} INFO - Updated row with Video_ID: cExLQ1o2pDw
[2025-10-23T08:16:41.588+0000] {data_modification.py:78} INFO - Updated row with Video_ID: uocETPj4Jx4
[2025-10-23T08:16:41.593+0000] {data_modification.py:78} INFO - Updated row with Video_ID: zxYjTTXc-J8
[2025-10-23T08:16:41.603+0000] {data_modification.py:78} INFO - Updated row with Video_ID: hxwpkM5w3Cc
[2025-10-23T08:16:41.616+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ktyJIj6i4Qw
[2025-10-23T08:16:41.634+0000] {data_modification.py:78} INFO - Updated row with Video_ID: urtFrxDUV6c
[2025-10-23T08:16:41.648+0000] {data_modification.py:78} INFO - Updated row with Video_ID: nM89Wl03Q4g
[2025-10-23T08:16:41.657+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NZlClr_ivb4
[2025-10-23T08:16:41.674+0000] {data_modification.py:78} INFO - Updated row with Video_ID: jGAJCAuV3pQ
[2025-10-23T08:16:41.689+0000] {data_modification.py:78} INFO - Updated row with Video_ID: c0v8OPItCOg
[2025-10-23T08:16:41.717+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3ryID_SwU5E
[2025-10-23T08:16:41.741+0000] {data_modification.py:78} INFO - Updated row with Video_ID: IemzxkkzI5s
[2025-10-23T08:16:41.749+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3OFj6l2tQ9s
[2025-10-23T08:16:41.754+0000] {data_modification.py:78} INFO - Updated row with Video_ID: bvlFjrcpD6s
[2025-10-23T08:16:41.760+0000] {data_modification.py:78} INFO - Updated row with Video_ID: AZlBZuS4hr0
[2025-10-23T08:16:41.768+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Gx6VeIIbWwM
[2025-10-23T08:16:41.772+0000] {data_modification.py:78} INFO - Updated row with Video_ID: CAOY8EKH1qU
[2025-10-23T08:16:41.781+0000] {data_modification.py:78} INFO - Updated row with Video_ID: IQxea9UB1nQ
[2025-10-23T08:16:41.792+0000] {data_modification.py:78} INFO - Updated row with Video_ID: KrLj6nc516A
[2025-10-23T08:16:41.798+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 19NmWqv4Alk
[2025-10-23T08:16:41.803+0000] {data_modification.py:78} INFO - Updated row with Video_ID: SGzWIoLAzmY
[2025-10-23T08:16:41.807+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NnNZLCl78Ao
[2025-10-23T08:16:41.819+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NTZhwAldqwg
[2025-10-23T08:16:41.825+0000] {data_modification.py:78} INFO - Updated row with Video_ID: J_z-W4UVHkw
[2025-10-23T08:16:41.831+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 7IKab3HcfFk
[2025-10-23T08:16:41.837+0000] {data_modification.py:78} INFO - Updated row with Video_ID: h5NvTTOlOtI
[2025-10-23T08:16:41.845+0000] {data_modification.py:78} INFO - Updated row with Video_ID: se50viFJ0AQ
[2025-10-23T08:16:41.851+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 0CTp1a-aCUM
[2025-10-23T08:16:41.856+0000] {data_modification.py:78} INFO - Updated row with Video_ID: FD-0KG-h2-c
[2025-10-23T08:16:41.865+0000] {data_modification.py:78} INFO - Updated row with Video_ID: kX3nB4PpJko
[2025-10-23T08:16:41.875+0000] {data_modification.py:78} INFO - Updated row with Video_ID: YlvcFJOE-OE
[2025-10-23T08:16:41.881+0000] {data_modification.py:78} INFO - Updated row with Video_ID: hD1YtmKXNb4
[2025-10-23T08:16:41.887+0000] {data_modification.py:78} INFO - Updated row with Video_ID: LnlKwzc_TNA
[2025-10-23T08:16:41.893+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 3jS_yEK8qVI
[2025-10-23T08:16:41.902+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 00NgUctWoLQ
[2025-10-23T08:16:41.910+0000] {data_modification.py:78} INFO - Updated row with Video_ID: fMfipiV_17o
[2025-10-23T08:16:41.932+0000] {data_modification.py:78} INFO - Updated row with Video_ID: ayXxwJJId_c
[2025-10-23T08:16:41.937+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 9bqk6ZUsKyA
[2025-10-23T08:16:41.943+0000] {data_modification.py:78} INFO - Updated row with Video_ID: DuQbOQwVaNE
[2025-10-23T08:16:41.955+0000] {data_modification.py:78} INFO - Updated row with Video_ID: vJH28ICkCdU
[2025-10-23T08:16:41.965+0000] {data_modification.py:78} INFO - Updated row with Video_ID: _uwNDiU04zE
[2025-10-23T08:16:41.972+0000] {data_modification.py:78} INFO - Updated row with Video_ID: C680oxL__ck
[2025-10-23T08:16:41.981+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 5Fg9oZk-5uA
[2025-10-23T08:16:41.992+0000] {data_modification.py:78} INFO - Updated row with Video_ID: PKtnafFtfEo
[2025-10-23T08:16:41.997+0000] {data_modification.py:78} INFO - Updated row with Video_ID: f0c7pSCoZqE
[2025-10-23T08:16:42.002+0000] {data_modification.py:78} INFO - Updated row with Video_ID: dg2Ag3e8W-Q
[2025-10-23T08:16:42.006+0000] {data_modification.py:78} INFO - Updated row with Video_ID: LeYsRMZFUq0
[2025-10-23T08:16:42.012+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Dc2ZRmuH5OM
[2025-10-23T08:16:42.022+0000] {data_modification.py:78} INFO - Updated row with Video_ID: GLoeAJUcz38
[2025-10-23T08:16:42.027+0000] {data_modification.py:78} INFO - Updated row with Video_ID: SZQhgExjBvQ
[2025-10-23T08:16:42.038+0000] {data_modification.py:78} INFO - Updated row with Video_ID: IoZri9hq7z4
[2025-10-23T08:16:42.042+0000] {data_modification.py:78} INFO - Updated row with Video_ID: AKJfakEsgy0
[2025-10-23T08:16:42.047+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Vl3swga-Xrk
[2025-10-23T08:16:42.053+0000] {data_modification.py:78} INFO - Updated row with Video_ID: UE5AHE2Ypr8
[2025-10-23T08:16:42.057+0000] {data_modification.py:78} INFO - Updated row with Video_ID: TDiXxsQ0w2Q
[2025-10-23T08:16:42.067+0000] {data_modification.py:78} INFO - Updated row with Video_ID: oD155zWANQg
[2025-10-23T08:16:42.072+0000] {data_modification.py:78} INFO - Updated row with Video_ID: s1ax8Tx_Jz0
[2025-10-23T08:16:42.083+0000] {data_modification.py:78} INFO - Updated row with Video_ID: NkE0AMGzpJY
[2025-10-23T08:16:42.091+0000] {data_modification.py:78} INFO - Updated row with Video_ID: FbM1yi4mMMc
[2025-10-23T08:16:42.101+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 5V2B28OqfqM
[2025-10-23T08:16:42.106+0000] {data_modification.py:78} INFO - Updated row with Video_ID: Rj_vssRaZlQ
[2025-10-23T08:16:42.110+0000] {data_modification.py:78} INFO - Updated row with Video_ID: YQDDm9HLkV4
[2025-10-23T08:16:42.117+0000] {data_modification.py:78} INFO - Updated row with Video_ID: erQ_9yEz0ls
[2025-10-23T08:16:42.125+0000] {data_modification.py:78} INFO - Updated row with Video_ID: OAbP-V6fEVc
[2025-10-23T08:16:42.132+0000] {data_modification.py:78} INFO - Updated row with Video_ID: _qAJMXfL6o0
[2025-10-23T08:16:42.137+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 59AYXzCa-Cs
[2025-10-23T08:16:42.141+0000] {data_modification.py:78} INFO - Updated row with Video_ID: r7zJ8srwwjk
[2025-10-23T08:16:42.148+0000] {data_modification.py:78} INFO - Updated row with Video_ID: YSoJPA8-oHc
[2025-10-23T08:16:42.152+0000] {data_modification.py:78} INFO - Updated row with Video_ID: 5Hg_QSIJm8I
[2025-10-23T08:16:42.157+0000] {data_modification.py:78} INFO - Updated row with Video_ID: gsWPpE4Rid0
