[2025-10-22T11:08:18.755+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-22T11:08:18.874+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:18.918+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:18.921+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-22T11:08:20.623+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: gs8qfL9PNac
[2025-10-22T11:08:20.628+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: DBPYB8WkkDc
[2025-10-22T11:08:20.633+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: zvBXpoBegwE
[2025-10-22T11:08:20.638+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: SWc8fI_9iqA
[2025-10-22T11:08:20.644+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 0BjlBnfHcHM
[2025-10-22T11:08:20.650+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: HcL1EQ5qD_g
[2025-10-22T11:08:20.657+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: dc089EZRGcg
[2025-10-22T11:08:20.662+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: vXNtju4VFm4
[2025-10-22T11:08:20.668+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: I9mw5UlDyPI
[2025-10-22T11:08:20.674+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: pS-fFdvyHLE
[2025-10-22T11:08:20.679+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Xj0Jtjg3lHQ
[2025-10-22T11:08:20.685+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 9UtcHPCEBgg
[2025-10-22T11:08:20.690+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ZNt_GoOBHq8
[2025-10-22T11:08:20.696+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: bn0Kh9c4Zv4
[2025-10-22T11:08:20.705+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: dDVFnfCwjHA
[2025-10-22T11:08:20.713+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Kt2HvqRruHQ
[2025-10-22T11:08:20.723+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: vDrSCXFMAKk
[2025-10-22T11:08:20.727+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: snX5YyflrGw
[2025-10-22T11:08:20.735+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: nbzQdlWrcnk
[2025-10-22T11:08:20.742+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 8krJy31Diow
[2025-10-22T11:08:20.746+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: aRcUVhVlSHg
[2025-10-22T11:08:20.756+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Jo7sfpeWqwE
[2025-10-22T11:08:20.761+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: QtD-CeUdRUQ
[2025-10-22T11:08:20.769+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ndAQfTzlVjc
[2025-10-22T11:08:20.777+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: AydS-vA3qa4
[2025-10-22T11:08:20.788+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: UPrkC1LdlLY
[2025-10-22T11:08:20.795+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 8bTQMDM4qvY
[2025-10-22T11:08:20.804+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: DBw0oD38z0Q
[2025-10-22T11:08:20.811+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 4SNThp0YiU4
[2025-10-22T11:08:20.817+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: XhuisK0bTSA
[2025-10-22T11:08:20.822+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: lkCRPp7cnP8
[2025-10-22T11:08:20.829+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: KkCXLABwHP0
[2025-10-22T11:08:20.838+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: PWirijQkH4M
[2025-10-22T11:08:20.844+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: U_LlX4t0A9I
[2025-10-22T11:08:20.851+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: T8I165Qxeo8
[2025-10-22T11:08:20.855+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: i-9V21MqlhY
[2025-10-22T11:08:20.861+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: YyNz4--6fro
[2025-10-22T11:08:20.868+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: f0cXJ6mJxGc
[2025-10-22T11:08:20.876+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: F6PqxbvOCUI
[2025-10-22T11:08:20.885+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: oA4LSZvX4iE
[2025-10-22T11:08:20.891+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ZKxnjszkZto
[2025-10-22T11:08:20.900+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 8_gdcaX9Xqk
[2025-10-22T11:08:20.906+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: snUyLbGx6U4
[2025-10-22T11:08:20.911+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Pv0iVoSZzN8
[2025-10-22T11:08:20.916+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: CWbV3NItSdY
[2025-10-22T11:08:20.922+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: l-nMKJ5J3Uc
[2025-10-22T11:08:20.926+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: XE1Qyss8GIY
[2025-10-22T11:08:20.929+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 6GzHPS0rEgc
[2025-10-22T11:08:20.935+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: imhY0pe-Sd8
[2025-10-22T11:08:20.938+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: erLbbextvlY
[2025-10-22T11:08:20.942+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: OnTTThIzuNU
[2025-10-22T11:08:20.946+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: mKdjycj-7eE
[2025-10-22T11:08:20.952+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: tWYsfOSY9vY
[2025-10-22T11:08:20.955+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: sH48lKbayNU
[2025-10-22T11:08:20.959+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: AFXoSFNMwIA
[2025-10-22T11:08:20.962+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: k194wHZHjB0
[2025-10-22T11:08:20.968+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: AjwAdtlRKf8
[2025-10-22T11:08:20.972+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: KOEfDvr4DcQ
[2025-10-22T11:08:20.976+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: krsBRQbOPQ4
[2025-10-22T11:08:20.980+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 7ESeQBeikKs
[2025-10-22T11:08:20.985+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: K_CbgLpvH9E
[2025-10-22T11:08:20.989+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: lOKASgtr6kU
[2025-10-22T11:08:20.992+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 9RhWXPcKBI8
[2025-10-22T11:08:20.999+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ZVt9ZJfWV1c
[2025-10-22T11:08:21.004+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: rWBOITBjitE
[2025-10-22T11:08:21.008+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: tnTPaLOaHz8
[2025-10-22T11:08:21.012+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Wdjh81uH6FU
[2025-10-22T11:08:21.024+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 7dYTw-jAYkY
[2025-10-22T11:08:21.029+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: AjZDwxt7S8w
[2025-10-22T11:08:21.038+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: aZnqqXaT02g
[2025-10-22T11:08:21.044+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: mwKJfNYwvm8
[2025-10-22T11:08:21.052+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: l9_8_pDTmis
[2025-10-22T11:08:21.060+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: n7x4Jj9pdH8
[2025-10-22T11:08:21.067+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: QjvpjXdgugA
[2025-10-22T11:08:21.076+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: jGAJCAuV3pQ
[2025-10-22T11:08:21.082+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: c0v8OPItCOg
[2025-10-22T11:08:21.087+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3ryID_SwU5E
[2025-10-22T11:08:21.092+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: IemzxkkzI5s
[2025-10-22T11:08:21.099+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3OFj6l2tQ9s
[2025-10-22T11:08:21.105+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: bvlFjrcpD6s
[2025-10-22T11:08:21.109+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: AZlBZuS4hr0
[2025-10-22T11:08:21.116+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Gx6VeIIbWwM
[2025-10-22T11:08:21.122+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: CAOY8EKH1qU
[2025-10-22T11:08:21.132+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: IQxea9UB1nQ
[2025-10-22T11:08:21.139+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: KrLj6nc516A
[2025-10-22T11:08:21.142+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: zgLhCT7aFCA
[2025-10-22T11:08:21.151+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: L5kIXRdwGAI
[2025-10-22T11:08:21.155+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 19NmWqv4Alk
[2025-10-22T11:08:21.159+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: vBpQ1SlfVtU
[2025-10-22T11:08:21.164+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: SGzWIoLAzmY
[2025-10-22T11:08:21.173+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NnNZLCl78Ao
[2025-10-22T11:08:21.180+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NTZhwAldqwg
[2025-10-22T11:08:21.187+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: J_z-W4UVHkw
[2025-10-22T11:08:21.191+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: mKIhHNznt4s
[2025-10-22T11:08:21.195+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: jObOjhUkf50
[2025-10-22T11:08:21.201+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: O3YVBJ2n5xg
[2025-10-22T11:08:21.205+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: yhB3BgJyGl8
[2025-10-22T11:08:21.208+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: CP82DAKzL1U
[2025-10-22T11:08:21.216+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: fuhE6PYnRMc
[2025-10-22T11:08:21.220+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: stUofW3whpE
[2025-10-22T11:08:21.226+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 48h57PspBec
[2025-10-22T11:08:21.237+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ooAwCOP67GQ
[2025-10-22T11:08:21.242+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: FM7Z-Xq8Drc
[2025-10-22T11:08:21.250+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: ykRq_rp7NhM
[2025-10-22T11:08:21.275+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: WTOm65IZneg
[2025-10-22T11:08:21.292+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 8kggT2ej-lo
[2025-10-22T11:08:21.309+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: GGBy50KtvRk
[2025-10-22T11:08:21.317+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Y4-gFIfGXiQ
[2025-10-22T11:08:21.325+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 1WEAJ-DFkHE
[2025-10-22T11:08:21.329+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Y0cBiGUuB1Y
[2025-10-22T11:08:21.336+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: YLt73w6criQ
[2025-10-22T11:08:21.341+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: NPYPXWJBTWM
[2025-10-22T11:08:21.371+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: lglIQkCHO0g
[2025-10-22T11:08:21.388+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: TJ2ifmkGGus
[2025-10-22T11:08:21.396+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 7IKab3HcfFk
[2025-10-22T11:08:21.419+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: h5NvTTOlOtI
[2025-10-22T11:08:21.422+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: se50viFJ0AQ
[2025-10-22T11:08:21.470+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 0CTp1a-aCUM
[2025-10-22T11:08:21.520+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: FD-0KG-h2-c
[2025-10-22T11:08:21.547+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: kX3nB4PpJko
[2025-10-22T11:08:21.566+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: YlvcFJOE-OE
[2025-10-22T11:08:21.615+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: iogcY_4xGjo
[2025-10-22T11:08:21.649+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: S_CUEOBZ0P4
[2025-10-22T11:08:21.695+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: gHzuabZUd6c
[2025-10-22T11:08:21.735+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 65fN_OUawjk
[2025-10-22T11:08:21.763+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: jdMNoQE3mIQ
[2025-10-22T11:08:21.796+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 2isYuQZMbdU
[2025-10-22T11:08:21.842+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: tVWWp1PqDus
[2025-10-22T11:08:21.889+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: vaIgyRoUkQI
[2025-10-22T11:08:21.990+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: Hwybp38GnZw
[2025-10-22T11:08:22.073+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: hD1YtmKXNb4
[2025-10-22T11:08:22.114+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: LnlKwzc_TNA
[2025-10-22T11:08:22.138+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 3jS_yEK8qVI
[2025-10-22T11:08:22.161+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 00NgUctWoLQ
[2025-10-22T11:08:22.190+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: x9TQ6culXIA
[2025-10-22T11:08:22.202+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: QbJJwaVdgIs
[2025-10-22T11:08:22.225+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: 0e3GPea1Tyg
[2025-10-22T11:08:22.257+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: cV2gBU6hKfY
[2025-10-22T11:08:22.301+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: qIsgdOVGA04
[2025-10-22T11:08:22.357+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: cExLQ1o2pDw
[2025-10-22T11:08:22.382+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: uocETPj4Jx4
